"","V1","V2","V3","V4","V5"
"26",0.08,0.52,0.7,0.51850125,0.519065
"27",0.08,0.54,0.3,0.54061,0.54162
"28",0.08,0.56,0.9,0.5581475,0.557295
"29",0.08,0.58,0.1,0.58007875,0.580865
"30",0.08,0.6,0.4,0.60016625,0.60001
"31",0.08,0.62,0.7,0.62002,0.62006
"32",0.08,0.64,0.2,0.63931375,0.639915
"33",0.08,0.66,0.1,0.66088875,0.65926
"34",0.08,0.68,0.1,0.67921625,0.67935
"35",0.08,0.7,0.1,0.70041625,0.70017
"36",0.08,0.72,0.3,0.71965125,0.71889
"37",0.08,0.74,0.2,0.73984375,0.740125
"38",0.08,0.76,0,0.76041375,0.760945
"39",0.08,0.78,0.1,0.7800175,0.780835
"40",0.08,0.8,0,0.79957625,0.800135
"41",0.08,0.82,0,0.82207125,0.820485
"42",0.08,0.84,0,0.8387075,0.83971
"43",0.08,0.86,0,0.8596875,0.85882
"44",0.08,0.88,0,0.88009375,0.879885
"45",0.08,0.9,0.1,0.89942875,0.899735
"46",0.08,0.92,0.1,0.9206025,0.920565
"47",0.08,0.94,0,0.9400325,0.94043
"48",0.08,0.96,0.2,0.96022375,0.960285
"49",0.08,0.98,0.2,0.9802975,0.98002
"","V1","V2","V3","V4","V5"
"1",0.1,0.02,3.9,0.01973,0.019875
"2",0.1,0.04,5.6,0.03969125,0.039845
"3",0.1,0.06,3,0.05976625,0.060485
"4",0.1,0.08,3.9,0.0801025,0.080415
"5",0.1,0.1,4.3,0.09969375,0.10084
"6",0.1,0.12,3.5,0.12055875,0.119945
"7",0.1,0.14,1.9,0.13938625,0.139415
"8",0.1,0.16,2.5,0.159675,0.15953
"9",0.1,0.18,1.7,0.1801425,0.179865
"10",0.1,0.2,1.9,0.20082625,0.19948
"11",0.1,0.22,1.9,0.2210175,0.219465
"12",0.1,0.24,1.7,0.23999375,0.23876
"13",0.1,0.26,1.3,0.26000875,0.260345
"14",0.1,0.28,1.2,0.28126,0.280515
"15",0.1,0.3,1.1,0.2996325,0.2992
"16",0.1,0.32,1.5,0.31923375,0.318725
"17",0.1,0.34,0.9,0.34045,0.338765
"18",0.1,0.36,0.9,0.3608075,0.35924
"19",0.1,0.38,1.3,0.37843125,0.379695
"20",0.1,0.4,0.7,0.40024,0.39967
"21",0.1,0.42,0.5,0.4208925,0.42167
"22",0.1,0.44,0.7,0.43882125,0.43786
"23",0.1,0.46,1,0.459905,0.456795
"24",0.1,0.48,1,0.4790075,0.47981
"25",0.1,0.5,0.5,0.5008675,0.499785
"26",0.1,0.52,0.5,0.519285,0.516785
"27",0.1,0.54,0.6,0.53938125,0.539635
"28",0.1,0.56,0.5,0.56083,0.559715
"29",0.1,0.58,0.6,0.57993625,0.579315
"30",0.1,0.6,0.8,0.60109875,0.5998
"31",0.1,0.62,0.4,0.62076875,0.621265
"32",0.1,0.64,0.4,0.63953125,0.63938
"33",0.1,0.66,0.1,0.65937375,0.65744
"34",0.1,0.68,0.3,0.678745,0.679055
"35",0.1,0.7,0.1,0.701555,0.700885
"36",0.1,0.72,0.1,0.72112125,0.72084
"37",0.1,0.74,0.3,0.74027875,0.73967
"38",0.1,0.76,0,0.75927625,0.75874
"39",0.1,0.78,0.1,0.779035,0.778325
"40",0.1,0.8,0.1,0.80063875,0.800135
"41",0.1,0.82,0.4,0.81946625,0.81864
"42",0.1,0.84,0,0.84086,0.840965
"43",0.1,0.86,0.2,0.85872,0.85857
"44",0.1,0.88,0.1,0.88029125,0.880565
"45",0.1,0.9,0.1,0.90017875,0.899975
"46",0.1,0.92,0.2,0.9193825,0.91969
"47",0.1,0.94,0,0.94024,0.93995
"48",0.1,0.96,0.1,0.959745,0.959795
"49",0.1,0.98,0.5,0.97973625,0.97989
"","V1","V2","V3","V4","V5"
"1",0.12,0.02,3.9,0.02006125,0.02041
"2",0.12,0.04,4,0.03981125,0.04039
"3",0.12,0.06,3.9,0.06002375,0.0607
"4",0.12,0.08,3.7,0.0797025,0.0794
"5",0.12,0.1,2.7,0.0991675,0.09948
"6",0.12,0.12,2.9,0.11975875,0.120245
"7",0.12,0.14,3,0.13969125,0.141035
"8",0.12,0.16,1.8,0.1599925,0.1597
"9",0.12,0.18,2.6,0.1794225,0.180165
"10",0.12,0.2,2.1,0.199135,0.19872
"11",0.12,0.22,1.4,0.21946875,0.219505
"12",0.12,0.24,1.3,0.24117625,0.24008
"13",0.12,0.26,1.8,0.25945125,0.260935
"14",0.12,0.28,1.5,0.28015125,0.2805
"15",0.12,0.3,1,0.30060375,0.300655
"16",0.12,0.32,1.2,0.32102625,0.31998
"17",0.12,0.34,1.4,0.3403675,0.339995
"18",0.12,0.36,1.4,0.359435,0.359965
"19",0.12,0.38,1.2,0.37909375,0.37934
"20",0.12,0.4,1.1,0.3997975,0.398605
"21",0.12,0.42,0.9,0.42006,0.41916
"22",0.12,0.44,0.5,0.44012625,0.438615
"23",0.12,0.46,0.7,0.46049625,0.45946
"24",0.12,0.48,1,0.479435,0.478675
"25",0.12,0.5,0.8,0.4995625,0.499495
"26",0.12,0.52,0.3,0.52071375,0.519805
"27",0.12,0.54,0.1,0.54017,0.54048
"28",0.12,0.56,0.1,0.5595575,0.55851
"29",0.12,0.58,0.1,0.57949625,0.5796
"30",0.12,0.6,0.6,0.5986225,0.598175
"31",0.12,0.62,0.5,0.61951875,0.61833
"32",0.12,0.64,0.2,0.63881625,0.63693
"33",0.12,0.66,0.3,0.657415,0.657325
"34",0.12,0.68,0,0.67955625,0.678375
"35",0.12,0.7,0.1,0.70144125,0.701035
"36",0.12,0.72,0.1,0.7204975,0.719315
"37",0.12,0.74,0.1,0.73950375,0.738935
"38",0.12,0.76,0,0.7594975,0.759095
"39",0.12,0.78,0.2,0.77998625,0.778735
"40",0.12,0.8,0.1,0.80020375,0.799755
"41",0.12,0.82,0.1,0.8199925,0.820175
"42",0.12,0.84,0.2,0.839145,0.83837
"43",0.12,0.86,0,0.85985125,0.85925
"44",0.12,0.88,0,0.8795725,0.879755
"45",0.12,0.9,0.2,0.9008825,0.90072
