Time	ID	Naive exposed	Naive infected	Focal exposed	Focal infected
26.3849	9431	2	1	0	0
26.3882	68	0	0	0	0
26.3941	9143	1	0	0	0
26.4142	5365	2	0	1	1
26.4162	3895	1	0	1	0
26.4311	3919	0	0	1	0
26.4523	4848	1	0	3	0
26.4637	4910	0	0	0	0
26.4646	6344	8	1	1	1
26.4686	7413	2	0	2	1
26.482	1265	1	0	0	0
26.4949	9421	0	0	3	0
26.5144	3546	2	0	2	0
26.5377	1441	8	2	3	1
26.5462	7867	0	0	1	0
26.5605	4527	1	1	1	0
26.5655	3709	5	1	2	0
26.5703	4637	6	2	5	0
26.5743	4759	4	0	4	1
26.5886	5280	2	0	0	0
26.6	2879	1	0	0	0
26.6081	8812	0	0	0	0
26.6175	804	1	1	2	0
26.622	8864	2	0	1	0
26.6596	798	1	1	4	1
26.6814	6347	15	6	4	0
26.6844	3080	7	1	3	1
26.6856	2313	2	0	2	0
26.6913	1287	1	1	0	0
26.6923	2544	1	0	1	1
26.6978	6001	0	0	0	0
26.7053	6194	4	0	1	0
26.7495	3382	1	0	1	1
26.7499	3403	0	0	0	0
26.7606	420	3	1	5	1
26.764	5589	1	0	1	1
26.7695	2800	2	1	0	0
26.7735	4361	0	0	3	1
26.7755	1824	0	0	3	0
26.7975	7054	7	4	1	0
26.8105	5324	12	5	3	0
26.8176	3269	0	0	1	0
26.8231	8374	0	0	0	0
26.8251	4584	2	0	1	0
26.8769	1784	0	0	0	0
26.8873	7158	1	0	1	0
26.899	4787	0	0	0	0
26.9078	846	2	0	1	0
26.9198	6557	0	0	1	0
26.9439	8308	0	0	0	0
26.9541	6483	2	0	1	1
26.9544	944	0	0	1	0
26.9601	2361	3	0	0	0
26.9693	778	1	0	1	0
26.9708	9496	0	0	0	0
26.9737	75	1	1	2	0
26.9976	9314	6	6	3	1
27.0081	8322	0	0	0	0
27.0172	6695	0	0	0	0
27.0218	3032	2	0	0	0
27.0222	4616	1	0	0	0
27.0273	615	21	8	1	0
27.0275	4715	1	1	2	1
27.036	3505	9	3	4	1
27.0389	555	1	0	0	0
27.0427	8363	6	2	6	1
27.0451	1082	0	0	0	0
27.0544	9059	4	2	0	0
27.0672	6980	15	5	0	0
27.0786	5893	1	0	1	0
27.0952	261	0	0	1	0
27.0966	5953	1	0	2	1
27.1047	6865	3	2	2	0
27.1079	9706	1	1	0	0
27.1145	9098	1	0	2	0
27.116	1728	0	0	0	0
27.1226	6022	0	0	0	0
27.1234	7979	5	3	2	1
27.1246	6818	3	2	1	0
