Time	ID	Naive exposed	Naive infected	Focal exposed	Focal infected
25.7337	5118	5	2	2	2
25.7384	2748	2	0	0	0
25.7396	7989	11	3	1	0
25.7461	4833	5	0	0	0
25.7587	3197	3	2	0	0
25.775	3285	5	0	1	0
25.7928	5277	9	3	1	0
25.7962	7807	4	2	0	0
25.8061	1747	6	2	0	0
25.8094	147	2	0	1	0
25.8184	8514	0	0	0	0
25.839	6522	1	1	0	0
25.8392	4056	11	1	4	0
25.8717	8386	4	0	0	0
25.8742	1899	1	1	0	0
25.893	2212	3	1	0	0
25.9423	842	2	1	2	0
26.0209	2908	9	3	1	0
26.088	7194	4	0	1	0
26.0925	1751	1	0	0	0
26.0952	4063	2	1	0	0
26.1003	7193	0	0	1	0
26.1449	6669	1	0	0	0
26.1472	8353	4	0	4	0
26.1577	4949	0	0	0	0
26.1616	2586	7	2	1	0
26.162	8412	1	0	1	0
26.1664	3085	2	0	2	0
26.2002	7007	0	0	0	0
26.2091	5767	4	1	2	0
26.2195	2161	4	2	1	0
26.2244	8986	6	0	0	0
26.2361	5286	4	1	0	0
26.2517	262	2	0	1	0
26.2735	8513	1	1	1	1
26.3084	7805	1	0	0	0
26.3378	9200	1	0	0	0
26.3423	742	1	1	0	0
26.3448	4873	4	1	2	1
26.3615	9246	6	1	4	0
26.4171	8352	8	2	2	0
26.48	8236	13	1	2	0
26.4813	3326	15	3	6	1
26.4915	1268	3	1	2	0
26.5049	4885	3	3	2	0
26.5232	5841	0	0	0	0
26.524	1934	0	0	1	0
26.5355	48	3	1	1	0
26.54	4499	2	0	0	0
26.5533	8677	14	4	2	1
26.5564	2279	1	0	0	0
26.559	3542	1	0	0	0
26.5601	1591	0	0	0	0
26.5792	3416	2	1	1	0
26.5908	3640	8	2	2	0
26.5978	9532	0	0	2	0
26.6072	2342	0	0	1	1
26.6223	794	6	1	0	0
26.6618	9000	0	0	0	0
26.6798	6274	0	0	0	0
26.7092	8555	3	0	1	1
26.7166	884	5	1	3	0
26.7319	6520	2	0	0	0
26.732	6263	1	0	0	0
26.7675	7318	5	1	2	1
26.7904	3531	1	0	0	0
26.8205	7607	2	2	0	0
26.8283	3514	2	0	1	0
26.838	4520	4	2	0	0
26.8584	7055	0	0	0	0
