"num_exps","risks","inf"
"421",2,0.04422870571413,0
"422",3,0.0803226785462408,0
"423",3,0.0365819689301006,0
"424",2,0.0411444132321392,0
"425",2,0.632985173594358,0
"426",1,0.0502142568343756,0
"427",3,0.00947979815333426,0
"428",1,0.0607015617437389,0
"429",1,0.214437852073113,0
"430",2,0.0303888174212105,0
"431",3,0.00121817561244638,0
"432",1,0.00139757802057329,0
"433",1,0.109716510956926,0
"434",3,0.00549199803742513,0
"435",1,0.29279996142075,0
"436",2,0.0954191967449862,0
"437",2,0.0386300232394383,0
"438",2,0.00285645891766892,0
"439",3,0.120352722375249,0
"440",1,0.0148899625075745,0
"441",1,0.459719245218044,0
"442",2,0.0493450677456249,0
"443",2,0.0737042673819841,0
"444",3,0.0934120655916866,1
"445",2,0.179409874234321,1
"446",1,0.026788504144304,0
"447",1,0.0146172281969409,0
"448",3,0.0219103904952752,0
"449",2,0.24683999870925,0
"450",2,0.52896677834662,0
"451",1,0.016269444130216,0
"452",1,0.07967468933658,0
"453",1,0.000485102093035863,0
"454",2,0.00367951289237851,0
"455",4,0.214364736630937,1
"456",2,0.682779815590518,1
"457",1,0.675642752474487,1
"458",1,0.796370322100924,1
"459",1,1.01581157319077,1
"460",3,0.000297838409318686,0
"461",3,0.0385811929584237,0
"462",2,0.0192749423523578,0
"463",2,0.00548221900576286,0
"464",3,0.0254113991642724,0
"465",1,0.0775892539685561,0
"466",3,0.00878064565618155,0
"467",3,0.0201901657947568,0
"468",2,0.0209391067316844,0
"469",2,0.117554917955184,0
"470",3,0.0463045720700883,1
"471",1,0.488135696288614,1
"472",1,0.0493408121330647,0
"473",1,0.192188610840187,0
"474",2,0.0036254125845793,0
"475",2,0.0190493007340011,0
"476",1,0.988927884118266,0
"477",2,0.00429396173278754,0
"478",2,0.0108807839920801,0
"479",2,0.115855978850674,0
"480",1,0.0571728669649965,0
"481",2,0.00226190446651475,0
"482",3,0.274465100715236,0
"483",1,0.00932782387443587,0
"484",2,0.141931700014452,0
"485",1,0.230048243117066,0
"486",1,0.00154389299613072,0
"487",1,0.339801375816063,1
"488",2,0.0876682435840914,0
"489",1,0.0370587664669627,0
"490",4,0.0115703782260117,0
"491",1,0.061308208863176,0
"492",1,0.180908282381887,0
"493",2,0.485243200397283,0
"494",1,1.02409330800069,1
"495",1,0.195222050499386,0
"496",3,0.0774339769675579,0
"497",4,0.957843736996287,1
"498",5,2.86116483448363e-05,0
"499",1,0.0275779018180004,0
