"","V1","V2","V3"
"37",0.74,0.16,14.6
"38",0.76,0.16,14.1
"39",0.78,0.16,18.3
"40",0.8,0.16,18.1
"41",0.82,0.16,22.3
"42",0.84,0.16,25.5
"43",0.86,0.16,36
"44",0.88,0.16,40.1
"45",0.9,0.16,43.3
"46",0.92,0.16,51.7
"47",0.94,0.16,64.5
"48",0.96,0.16,73.7
"49",0.98,0.16,79
"","V1","V2","V3"
"1",0.02,0.18,5.1
"2",0.04,0.18,5.7
"3",0.06,0.18,5.8
"4",0.08,0.18,5.6
"5",0.1,0.18,5.6
"6",0.12,0.18,5.2
"7",0.14,0.18,4.5
"8",0.16,0.18,6.4
"9",0.18,0.18,4.7
"10",0.2,0.18,5.4
"11",0.22,0.18,5.1
"12",0.24,0.18,5.7
"13",0.26,0.18,4.9
"14",0.28,0.18,5.6
"15",0.3,0.18,6.1
"16",0.32,0.18,4.8
"17",0.34,0.18,5.8
"18",0.36,0.18,5.8
"19",0.38,0.18,5.5
"20",0.4,0.18,5.3
"21",0.42,0.18,4.5
"22",0.44,0.18,5
"23",0.46,0.18,7.6
"24",0.48,0.18,6.2
"25",0.5,0.18,7.4
"26",0.52,0.18,7.6
"27",0.54,0.18,6.3
"28",0.56,0.18,9.2
"29",0.58,0.18,8.4
"30",0.6,0.18,8
"31",0.62,0.18,8.3
"32",0.64,0.18,10.5
"33",0.66,0.18,8.8
"34",0.68,0.18,10.2
"35",0.7,0.18,10.9
"36",0.72,0.18,13.6
"37",0.74,0.18,14.3
"38",0.76,0.18,15.3
"39",0.78,0.18,19
"40",0.8,0.18,20.9
"41",0.82,0.18,22.2
"42",0.84,0.18,29.3
"43",0.86,0.18,34.2
"44",0.88,0.18,40.2
"45",0.9,0.18,42.7
"46",0.92,0.18,54.5
"47",0.94,0.18,65.1
"48",0.96,0.18,73.9
"49",0.98,0.18,76.7
"","V1","V2","V3"
"1",0.02,0.2,6.1
"2",0.04,0.2,4.5
"3",0.06,0.2,4.8
"4",0.08,0.2,4.6
"5",0.1,0.2,4.4
"6",0.12,0.2,5.7
"7",0.14,0.2,5.4
"8",0.16,0.2,4.4
"9",0.18,0.2,5.3
"10",0.2,0.2,4.6
"11",0.22,0.2,5.2
"12",0.24,0.2,4.9
"13",0.26,0.2,5.7
"14",0.28,0.2,5
"15",0.3,0.2,7.6
"16",0.32,0.2,5.8
"17",0.34,0.2,6.3
"18",0.36,0.2,5.3
"19",0.38,0.2,4.8
"20",0.4,0.2,6
"21",0.42,0.2,7.5
"22",0.44,0.2,6.9
"23",0.46,0.2,7.2
"24",0.48,0.2,6.1
"25",0.5,0.2,5.8
"26",0.52,0.2,7.9
"27",0.54,0.2,6
"28",0.56,0.2,7.3
"29",0.58,0.2,6.8
"30",0.6,0.2,10.5
"31",0.62,0.2,8
"32",0.64,0.2,10.1
"33",0.66,0.2,9.5
"34",0.68,0.2,11.9
"35",0.7,0.2,12.4
"36",0.72,0.2,12.9
"37",0.74,0.2,14.2
"38",0.76,0.2,15.6
"39",0.78,0.2,18.5
"40",0.8,0.2,21.3
"41",0.82,0.2,22.8
"42",0.84,0.2,30.2
"43",0.86,0.2,34.4
"44",0.88,0.2,41.3
"45",0.9,0.2,42.4
"46",0.92,0.2,52.7
"47",0.94,0.2,65.1
"48",0.96,0.2,74.8
"49",0.98,0.2,77
"","V1","V2","V3"
"1",0.02,0.22,6.8
"2",0.04,0.22,3.9
"3",0.06,0.22,4
"4",0.08,0.22,5.4
"5",0.1,0.22,5.3
"6",0.12,0.22,5.7
"7",0.14,0.22,4.7
"8",0.16,0.22,4.7
"9",0.18,0.22,4.7
"10",0.2,0.22,6
"11",0.22,0.22,5
"12",0.24,0.22,5.5
"13",0.26,0.22,5.8
"14",0.28,0.22,6.2
